     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1024,       227,         0,   0.009,blind_mwpm,4023c7f3debcefb5128f589b1455444e95c0e8c3844dbe2a55c860de09174682,"{""config"":""baseline_pauli"",""d"":5,""p"":0.017,""r_e"":0.0,""rounds"":5}",
      1024,       235,         0,   0.009,herald_mwpm,871b6e37fcec40940751b7663facb56214cdc98750175f55b6b159e66d907cc4,"{""config"":""baseline_pauli"",""d"":5,""p"":0.017,""r_e"":0.0,""rounds"":5}",
      1297,       356,         0,   0.016,herald_mwpm,e7a903db94521a1baf24b7a0f8fe60cc50b96307c9ec59d51cb7704c15760588,"{""config"":""baseline_pauli"",""d"":5,""p"":0.019,""r_e"":0.0,""rounds"":5}",
      1297,       326,         0,   0.019,blind_mwpm,cee4c413765e46caf0196689a328ca765baa343e0ffcc4686b9b49c81c349df4,"{""config"":""baseline_pauli"",""d"":5,""p"":0.019,""r_e"":0.0,""rounds"":5}",
      1024,       268,         0,   0.016,herald_mwpm,e7a903db94521a1baf24b7a0f8fe60cc50b96307c9ec59d51cb7704c15760588,"{""config"":""baseline_pauli"",""d"":5,""p"":0.019,""r_e"":0.0,""rounds"":5}",
      1024,       257,         0,   0.015,blind_mwpm,cee4c413765e46caf0196689a328ca765baa343e0ffcc4686b9b49c81c349df4,"{""config"":""baseline_pauli"",""d"":5,""p"":0.019,""r_e"":0.0,""rounds"":5}",
       273,        22,         0,   0.015,herald_mwpm,fea3184fe4e3254ecb07017cbfd232c400b2695a074e9d87ce5508acfdfa3933,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
      2048,       526,         0,   0.029,herald_mwpm,e7a903db94521a1baf24b7a0f8fe60cc50b96307c9ec59d51cb7704c15760588,"{""config"":""baseline_pauli"",""d"":5,""p"":0.019,""r_e"":0.0,""rounds"":5}",
      2048,       541,         0,   0.030,blind_mwpm,cee4c413765e46caf0196689a328ca765baa343e0ffcc4686b9b49c81c349df4,"{""config"":""baseline_pauli"",""d"":5,""p"":0.019,""r_e"":0.0,""rounds"":5}",
      1297,       124,         0,   0.030,blind_mwpm,722b0021d81032b1b58ad947fcbd17d3265aa60ab87ac3e75847e635935d9fbc,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
       273,        45,         0,   0.011,blind_mwpm,9f0d0a7f9b7da84c568a6541debb6c2b00e396b2e47be58b41aa9447e1b81252,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
      1024,        87,         0,   0.024,herald_mwpm,fea3184fe4e3254ecb07017cbfd232c400b2695a074e9d87ce5508acfdfa3933,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
       273,        34,         0,   0.011,herald_mwpm,3c171123aba850091ca2b4184d2fca931016b84254b112c7cab149bd48dec49c,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
       273,        60,         0,   0.014,herald_mwpm,9c6c48b8233b78dc34c74c14686e43f35de1d8a695c5e952ba2d5cab840aaedd,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      1024,        82,         0,   0.020,herald_mwpm,fea3184fe4e3254ecb07017cbfd232c400b2695a074e9d87ce5508acfdfa3933,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
      1024,       166,         0,   0.027,blind_mwpm,9f0d0a7f9b7da84c568a6541debb6c2b00e396b2e47be58b41aa9447e1b81252,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
      1024,       113,         0,   0.035,blind_mwpm,722b0021d81032b1b58ad947fcbd17d3265aa60ab87ac3e75847e635935d9fbc,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
       273,        55,         0,   0.015,blind_mwpm,b12cb213102b7cb9ceb35f95245d7fe94feb945f6d99d34da79afb541c8cef5b,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      1024,       168,         0,   0.030,herald_mwpm,3c171123aba850091ca2b4184d2fca931016b84254b112c7cab149bd48dec49c,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
      1024,       106,         0,   0.028,herald_mwpm,fea3184fe4e3254ecb07017cbfd232c400b2695a074e9d87ce5508acfdfa3933,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
      1024,        92,         0,   0.024,blind_mwpm,722b0021d81032b1b58ad947fcbd17d3265aa60ab87ac3e75847e635935d9fbc,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
      1024,       219,         0,   0.033,herald_mwpm,9c6c48b8233b78dc34c74c14686e43f35de1d8a695c5e952ba2d5cab840aaedd,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      1024,       167,         0,   0.038,blind_mwpm,9f0d0a7f9b7da84c568a6541debb6c2b00e396b2e47be58b41aa9447e1b81252,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
      1024,       221,         0,   0.033,blind_mwpm,b12cb213102b7cb9ceb35f95245d7fe94feb945f6d99d34da79afb541c8cef5b,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      1024,       153,         0,   0.034,herald_mwpm,3c171123aba850091ca2b4184d2fca931016b84254b112c7cab149bd48dec49c,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
       273,        75,         0,   0.015,herald_mwpm,6352d6b9d7eac5415b181398765890fb88a9d40436d4db41a58e7190a29600ad,"{""config"":""baseline_pauli"",""d"":7,""p"":0.017,""r_e"":0.0,""rounds"":7}",
       273,        75,         0,   0.011,blind_mwpm,7c6127a380878c04affa0970f7e4a3fb26a48c1d43ba965fb3da55e89a032b62,"{""config"":""baseline_pauli"",""d"":7,""p"":0.017,""r_e"":0.0,""rounds"":7}",
      1024,       234,         0,   0.035,herald_mwpm,9c6c48b8233b78dc34c74c14686e43f35de1d8a695c5e952ba2d5cab840aaedd,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      1024,       164,         0,   0.030,blind_mwpm,9f0d0a7f9b7da84c568a6541debb6c2b00e396b2e47be58b41aa9447e1b81252,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
      1024,       233,         0,   0.037,blind_mwpm,b12cb213102b7cb9ceb35f95245d7fe94feb945f6d99d34da79afb541c8cef5b,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      1024,       160,         0,   0.031,herald_mwpm,3c171123aba850091ca2b4184d2fca931016b84254b112c7cab149bd48dec49c,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
      2048,       188,         0,   0.058,blind_mwpm,722b0021d81032b1b58ad947fcbd17d3265aa60ab87ac3e75847e635935d9fbc,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
      2048,       222,         0,   0.064,herald_mwpm,fea3184fe4e3254ecb07017cbfd232c400b2695a074e9d87ce5508acfdfa3933,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
      1024,       228,         0,   0.029,herald_mwpm,9c6c48b8233b78dc34c74c14686e43f35de1d8a695c5e952ba2d5cab840aaedd,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      1024,       277,         0,   0.040,blind_mwpm,7c6127a380878c04affa0970f7e4a3fb26a48c1d43ba965fb3da55e89a032b62,"{""config"":""baseline_pauli"",""d"":7,""p"":0.017,""r_e"":0.0,""rounds"":7}",
      1024,       278,         0,   0.043,herald_mwpm,6352d6b9d7eac5415b181398765890fb88a9d40436d4db41a58e7190a29600ad,"{""config"":""baseline_pauli"",""d"":7,""p"":0.017,""r_e"":0.0,""rounds"":7}",
      1024,       253,         0,   0.043,blind_mwpm,b12cb213102b7cb9ceb35f95245d7fe94feb945f6d99d34da79afb541c8cef5b,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      2048,       324,         0,   0.062,blind_mwpm,9f0d0a7f9b7da84c568a6541debb6c2b00e396b2e47be58b41aa9447e1b81252,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
      1024,       208,         0,   0.038,herald_mwpm,9c6c48b8233b78dc34c74c14686e43f35de1d8a695c5e952ba2d5cab840aaedd,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      2048,       199,         0,   0.053,blind_mwpm,722b0021d81032b1b58ad947fcbd17d3265aa60ab87ac3e75847e635935d9fbc,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
      2048,       305,         0,   0.060,herald_mwpm,3c171123aba850091ca2b4184d2fca931016b84254b112c7cab149bd48dec49c,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
      1024,       267,         0,   0.041,herald_mwpm,6352d6b9d7eac5415b181398765890fb88a9d40436d4db41a58e7190a29600ad,"{""config"":""baseline_pauli"",""d"":7,""p"":0.017,""r_e"":0.0,""rounds"":7}",
      1024,       209,         0,   0.040,blind_mwpm,b12cb213102b7cb9ceb35f95245d7fe94feb945f6d99d34da79afb541c8cef5b,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      1024,       268,         0,   0.057,blind_mwpm,7c6127a380878c04affa0970f7e4a3fb26a48c1d43ba965fb3da55e89a032b62,"{""config"":""baseline_pauli"",""d"":7,""p"":0.017,""r_e"":0.0,""rounds"":7}",
      1024,       149,         0,   0.029,blind_mwpm,9f0d0a7f9b7da84c568a6541debb6c2b00e396b2e47be58b41aa9447e1b81252,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
      3072,       297,         0,   0.072,herald_mwpm,fea3184fe4e3254ecb07017cbfd232c400b2695a074e9d87ce5508acfdfa3933,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
      1024,       226,         0,   0.037,herald_mwpm,9c6c48b8233b78dc34c74c14686e43f35de1d8a695c5e952ba2d5cab840aaedd,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      1024,       291,         0,   0.040,herald_mwpm,6352d6b9d7eac5415b181398765890fb88a9d40436d4db41a58e7190a29600ad,"{""config"":""baseline_pauli"",""d"":7,""p"":0.017,""r_e"":0.0,""rounds"":7}",
      1024,       225,         0,   0.039,blind_mwpm,b12cb213102b7cb9ceb35f95245d7fe94feb945f6d99d34da79afb541c8cef5b,"{""config"":""baseline_pauli"",""d"":7,""p"":0.015,""r_e"":0.0,""rounds"":7}",
      1024,       289,         0,   0.041,blind_mwpm,7c6127a380878c04affa0970f7e4a3fb26a48c1d43ba965fb3da55e89a032b62,"{""config"":""baseline_pauli"",""d"":7,""p"":0.017,""r_e"":0.0,""rounds"":7}",
      2048,       314,         0,   0.059,herald_mwpm,3c171123aba850091ca2b4184d2fca931016b84254b112c7cab149bd48dec49c,"{""config"":""baseline_pauli"",""d"":7,""p"":0.013,""r_e"":0.0,""rounds"":7}",
