     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      7168,       100,         0,   0.172,herald_mwpm,0f67d4a0aef5877821a362e2876801206bf3de966d13a40481ccc12e10a57b9b,"{""config"":""erasure_r50"",""d"":3,""p"":0.004641588833612777,""r_e"":0.5,""rounds"":3}",
      1024,       190,         0,   0.097,herald_mwpm,61f38d801dc116fd02c37190ee076c754ef346534092b8bc829266200351bfef,"{""config"":""erasure_r50"",""d"":3,""p"":0.026,""r_e"":0.5,""rounds"":3}",
      2321,      1126,         0,   0.017,blind_mwpm,ab7c8eef143c22003b5c4bb40b131f835fcc9c2a08a6b6afeb2b3bc87c278e0e,"{""config"":""erasure_r50"",""d"":3,""p"":0.1,""r_e"":0.5,""rounds"":3}",
       273,       144,         0,   0.060,herald_mwpm,bd996688eb8c39ad46c8c1035c38e5e88b74f25ab1c9a246c383af492bdceaba,"{""config"":""erasure_r50"",""d"":3,""p"":0.1,""r_e"":0.5,""rounds"":3}",
      1024,       277,         0,   0.101,herald_mwpm,5903e8402eab08d4e628ca2b4f365fa198f9edf32b6f0bafed09eb41613dafee,"{""config"":""erasure_r50"",""d"":3,""p"":0.03162277660168379,""r_e"":0.5,""rounds"":3}",
      2321,         0,         0,   0.013,blind_mwpm,2b1e684a2b8965c69aca9f1d193822689fb28f6b4fa6dd5c4af171c8c5f0d435,"{""config"":""erasure_r50"",""d"":5,""p"":0.001,""r_e"":0.5,""rounds"":5}",
      1024,       384,         0,   0.159,herald_mwpm,140d94de1a70a3c47775b2ef96cbd5fb1996a28ce147775d37833042da33c8f7,"{""config"":""erasure_r50"",""d"":3,""p"":0.046415888336127774,""r_e"":0.5,""rounds"":3}",
      5120,         0,         0,   0.016,blind_mwpm,2b1e684a2b8965c69aca9f1d193822689fb28f6b4fa6dd5c4af171c8c5f0d435,"{""config"":""erasure_r50"",""d"":5,""p"":0.001,""r_e"":0.5,""rounds"":5}",
        17,         0,         0,   0.013,herald_mwpm,5bd6a50961112c4772837b9f3d4a1002b35d582180cc4743a68cf822005b91e4,"{""config"":""erasure_r50"",""d"":5,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":5}",
      2321,         1,         0,   0.013,blind_mwpm,dbe5d2e1ffe3934d00b6df8722b5dab3652f6fc223cdb1aafbcb2e335b87e793,"{""config"":""erasure_r50"",""d"":5,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":5}",
      1024,       477,         0,   0.186,herald_mwpm,40c7eb20e505d325de9d45d8732af82c6b70d08f8a684e767120f7041b89542b,"{""config"":""erasure_r50"",""d"":3,""p"":0.06812920690579612,""r_e"":0.5,""rounds"":3}",
      4096,         0,         0,   0.018,blind_mwpm,2b1e684a2b8965c69aca9f1d193822689fb28f6b4fa6dd5c4af171c8c5f0d435,"{""config"":""erasure_r50"",""d"":5,""p"":0.001,""r_e"":0.5,""rounds"":5}",
      4096,         4,         0,   0.018,blind_mwpm,dbe5d2e1ffe3934d00b6df8722b5dab3652f6fc223cdb1aafbcb2e335b87e793,"{""config"":""erasure_r50"",""d"":5,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":5}",
       273,         0,         0,   0.057,herald_mwpm,7b0c736cee9dc0840245294f8cadcedffdd84cab4ec935cbb7dd7c24c22961b5,"{""config"":""erasure_r50"",""d"":5,""p"":0.001,""r_e"":0.5,""rounds"":5}",
      5120,         1,         0,   0.026,blind_mwpm,2b1e684a2b8965c69aca9f1d193822689fb28f6b4fa6dd5c4af171c8c5f0d435,"{""config"":""erasure_r50"",""d"":5,""p"":0.001,""r_e"":0.5,""rounds"":5}",
      4096,         1,         0,   0.022,blind_mwpm,dbe5d2e1ffe3934d00b6df8722b5dab3652f6fc223cdb1aafbcb2e335b87e793,"{""config"":""erasure_r50"",""d"":5,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":5}",
      1024,       509,         0,   0.187,herald_mwpm,bd996688eb8c39ad46c8c1035c38e5e88b74f25ab1c9a246c383af492bdceaba,"{""config"":""erasure_r50"",""d"":3,""p"":0.1,""r_e"":0.5,""rounds"":3}",
       256,         0,         0,   0.073,herald_mwpm,5bd6a50961112c4772837b9f3d4a1002b35d582180cc4743a68cf822005b91e4,"{""config"":""erasure_r50"",""d"":5,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":5}",
      5120,         1,         0,   0.022,blind_mwpm,dbe5d2e1ffe3934d00b6df8722b5dab3652f6fc223cdb1aafbcb2e335b87e793,"{""config"":""erasure_r50"",""d"":5,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":5}",
      7168,         0,         0,   0.036,blind_mwpm,2b1e684a2b8965c69aca9f1d193822689fb28f6b4fa6dd5c4af171c8c5f0d435,"{""config"":""erasure_r50"",""d"":5,""p"":0.001,""r_e"":0.5,""rounds"":5}",
        17,         0,         0,   0.013,herald_mwpm,c284c367e8ea6fec0babd7678aee40cdbe65623dbe0e9cf9e47718e36beff151,"{""config"":""erasure_r50"",""d"":5,""p"":0.0021544346900318843,""r_e"":0.5,""rounds"":5}",
      8192,         3,         0,   0.037,blind_mwpm,dbe5d2e1ffe3934d00b6df8722b5dab3652f6fc223cdb1aafbcb2e335b87e793,"{""config"":""erasure_r50"",""d"":5,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":5}",
     10240,         1,         0,   0.051,blind_mwpm,2b1e684a2b8965c69aca9f1d193822689fb28f6b4fa6dd5c4af171c8c5f0d435,"{""config"":""erasure_r50"",""d"":5,""p"":0.001,""r_e"":0.5,""rounds"":5}",
      1024,       500,         0,   0.155,herald_mwpm,40c7eb20e505d325de9d45d8732af82c6b70d08f8a684e767120f7041b89542b,"{""config"":""erasure_r50"",""d"":3,""p"":0.06812920690579612,""r_e"":0.5,""rounds"":3}",
